,id,first_name,last_name,team_id
458,1057268940,Collin,Murray-Boyles,28
459,1057271099,Joan,Beringer,18
460,1057271360,Carter,Bryant,27
461,1057271583,Walter,Clayton Jr.,15
462,1057272081,Noa,Essengue,5
463,1057272939,Kasparas,Jakučionis,16
464,1057274415,Derik,Queen,19
465,1057274983,Thomas,Sorber,21
466,1057275262,Nolan,Traoré,3
467,1057275769,Hansen,Yang,25
468,1057276634,Nique,Clifford,26
469,1057277425,Hugo,González,2
470,1057278805,Liam,McNeeley,4
471,1057279093,Asa,Newell,1
472,1057279105,Yanic Konan,Niederhauser,13
473,1057279425,Drake,Powell,3
474,1057279571,Jase,Richardson,22
475,1057279594,Will,Riley,30
476,1057279760,Ben,Saraf,3
477,1057280779,Danny,Wolf,3
478,1057382509,Johni,Broome,23
479,1057383369,Rasheer,Fleming,24
480,1057384156,Sion,James,4
481,1057384362,Ryan,Kalkbrenner,4
482,1057385481,Noah,Penda,22
483,1057386376,Adou,Thiero,14
484,1057387526,Koby,Brea,24
485,1057389374,Kam,Jones,12
486,1057389625,Chaz,Lanier,9
487,1057389862,Alijah,Martin,28
488,1057390538,Micah,Peavy,19
489,1057390745,Maxime,Raynaud,26
490,1057391756,Jamir,Watkins,30
491,1057392335,Brooks,Barnhizer,21
492,1057393207,Mohamed,Diawara,20
493,1057394959,Jahmai,Mashack,15
494,1057395493,Lachlan,Olbrich,5
495,1057395638,Taelon,Peter,12
496,1057395754,Tyrese,Proctor,6
497,1057395872,Will,Richard,10
498,1057396055,Kobe,Sanders,13
499,1057396191,Max,Shulga,2
500,1057396260,Javon,Small,15
501,1057396603,John,Tonje,2
502,1057396966,Amari,Williams,2
503,1057397172,Rocco,Zikarsky,18
504,1057845274,Dylan,Cardwell,26
505,1057845382,Moussa,Cisse,7
506,1057845705,Hunter,Dickinson,19
507,1057846109,Myron,Gardner,16
508,1057846172,Keshon,Gilbert,1
509,1057846206,Vladislav,Goldin,16
510,1057846535,Chucky,Hepburn,28
511,1057846700,CJ,Huntley,24
512,1057846840,Chaney,Johnson,3
513,1057846921,Curtis,Jones,8
514,1057847330,Caleb,Love,25
515,1057847504,Chris,Mañon,14
516,1057847894,Ryan,Nembhard,7
517,1057848025,Norchad,Omier,13
518,1057848244,John,Poulakidas,7
519,1057849685,Chris,Youngblood,25
520,1057968644,LJ,Cryer,10
521,1058921044,Sean,Pedulla,13
522,1059059437,Josh,Oduro,19
523,1059635020,Payton,Sandfort,21
524,1059753274,Malachi,Smith,3
525,1059992972,Bez,Mbeng,29
526,1060010671,Alex,Antetokounmpo,17
527,1060111739,Julian,Reese,30
528,1076658911,Jayson,Kent,25
529,1081266162,Hayden,Gray,29
